country,abbreviation,value
more than 10000000,ABB,56
more than 10000000,ABB,57.7
more than 10000000,ABB,46
more than 10000000,ABB,51.6
more than 10000000,ABB,44.6
more than 10000000,ABB,45.3
more than 10000000,ABB,58
more than 10000000,ABB,66.4
more than 10000000,ABB,68.5
more than 10000000,ABB,43.5
more than 10000000,ABB,51.2
more than 10000000,ABB,66.1
more than 10000000,ABB,83
more than 10000000,ABB,49.6
more than 10000000,ABB,87
more than 10000000,ABB,65
more than 10000000,ABB,75.3
more than 10000000,ABB,81.1
more than 10000000,ABB,58.4
more than 10000000,ABB,76.7
more than 10000000,ABB,55
more than 10000000,ABB,50
more than 10000000,ABB,75.6
more than 10000000,ABB,43.1
more than 10000000,ABB,46.4
more than 10000000,ABB,58.8
more than 10000000,ABB,75.7
more than 10000000,ABB,61.3
more than 10000000,ABB,65.7
more than 10000000,ABB,65.1
more than 10000000,ABB,72.8
more than 10000000,ABB,59.3
more than 10000000,ABB,67.3
more than 10000000,ABB,55.5
more than 10000000,ABB,63
more than 10000000,ABB,49.8
more than 10000000,ABB,58.2
more than 10000000,ABB,50
more than 10000000,ABB,67.5
more than 10000000,ABB,69.4
more than 10000000,ABB,69.6
more than 10000000,ABB,67.8
more than 10000000,ABB,66.4
more than 10000000,ABB,70
more than 10000000,ABB,54.9
more than 10000000,ABB,74.6
more than 10000000,ABB,67
more than 10000000,ABB,54.3
more than 10000000,ABB,74.2
more than 10000000,ABB,65
more than 10000000,ABB,53.7
more than 10000000,ABB,51.6
more than 10000000,ABB,52.6
more than 10000000,ABB,44.3
more than 10000000,ABB,69.6
more than 10000000,ABB,53.6
more than 10000000,ABB,73.4
more than 10000000,ABB,63
more than 10000000,ABB,44.5
more than 10000000,ABB,47.7
more than 10000000,ABB,45.4
more than 10000000,ABB,52.2
more than 10000000,ABB,47.1
more than 10000000,ABB,57.4
more than 10000000,ABB,64.1
more than 10000000,ABB,48.2
more than 10000000,ABB,52.6
more than 10000000,ABB,72
more than 10000000,ABB,46.5
more than 10000000,ABB,57.6
more than 10000000,ABB,83
more than 10000000,ABB,57.5
more than 10000000,ABB,67
more than 10000000,ABB,55.3
more than 10000000,ABB,61.9
more than 10000000,ABB,72.4
more than 10000000,ABB,66.6
more than 10000000,ABB,73.6
more than 10000000,ABB,71.4
more than 10000000,ABB,73.4
more than 10000000,ABB,66.5
more than 10000000,ABB,59.3
more than 10000000,ABB,68.7
more than 10000000,ABB,74
more than 10000000,ABB,47.7
more than 10000000,ABB,68.3
more than 10000000,ABB,63.1
more than 10000000,ABB,72
more than 10000000,ABB,51
more than 10000000,ABB,83
more than 10000000,ABB,72.9
more than 10000000,ABB,63.2
more than 10000000,ABB,57
more than 10000000,ABB,61.2
more than 10000000,ABB,67.9
more than 10000000,ABB,72.1
more than 10000000,ABB,56.7
more than 10000000,ABB,74
more than 10000000,ABB,69.9
more than 10000000,ABB,74.5
more than 10000000,ABB,69.5
more than 10000000,ABB,59.6
more than 10000000,ABB,73.7
more than 10000000,ABB,69
more than 10000000,ABB,69.3
more than 10000000,ABB,68.6
more than 10000000,ABB,59.4
more than 10000000,ABB,62.1
more than 10000000,ABB,69.2
more than 10000000,ABB,69.6
more than 10000000,ABB,74
more than 10000000,ABB,74.1
more than 10000000,ABB,74.2
more than 10000000,ABB,64.7
more than 10000000,ABB,68.9
more than 10000000,ABB,62.4
more than 10000000,ABB,51.3
more than 10000000,ABB,68.4
more than 10000000,ABB,72.2
more than 10000000,ABB,74.3
more than 10000000,ABB,82.8
more than 10000000,ABB,73.7
more than 10000000,ABB,49.6
more than 10000000,ABB,61.9
more than 10000000,ABB,54.8
more than 10000000,ABB,73.4
more than 10000000,ABB,61.4
more than 10000000,ABB,49.8
more than 10000000,ABB,73.3
more than 10000000,ABB,63.3
more than 10000000,ABB,57.2
more than 10000000,ABB,66.4
more than 10000000,ABB,73.7
more than 10000000,ABB,73
more than 10000000,ABB,47.1
more than 10000000,ABB,64.5
more than 10000000,ABB,49.5
more than 10000000,ABB,75.3
more than 10000000,ABB,69
more than 10000000,ABB,53.6
more than 10000000,ABB,69
more than 10000000,ABB,73.5
more than 10000000,ABB,53.3
more than 10000000,ABB,85
more than 10000000,ABB,63
more than 10000000,ABB,70
more than 10000000,ABB,47.4
more than 10000000,ABB,51
more than 10000000,ABB,74.8
more than 10000000,ABB,61.8
more than 10000000,ABB,75
more than 10000000,ABB,67.3
more than 10000000,ABB,64.7
more than 10000000,ABB,53.2
more than 10000000,ABB,57.3
more than 10000000,ABB,82.3
more than 10000000,ABB,67.2
more than 10000000,ABB,49.1
more than 10000000,ABB,66.9
more than 10000000,ABB,77
more than 10000000,ABB,64.3
more than 10000000,ABB,82.5
more than 10000000,ABB,59.4
more than 10000000,ABB,56.2
more than 10000000,ABB,63.8
more than 10000000,ABB,56.4
more than 10000000,ABB,71.1
more than 10000000,ABB,51.2
more than 10000000,ABB,71.7
more than 10000000,ABB,71.9
more than 10000000,ABB,66.3
more than 10000000,ABB,62.3
more than 10000000,ABB,74.6
more than 10000000,ABB,52.1
more than 30000000,ABB,63.2
more than 30000000,ABB,82.8
more than 30000000,ABB,81.9
more than 30000000,ABB,62.5
more than 30000000,ABB,82.1
more than 30000000,ABB,74.3
more than 30000000,ABB,63.4
more than 30000000,ABB,74.4
more than 30000000,ABB,74.6
more than 30000000,ABB,71.4
more than 30000000,ABB,63.9
more than 30000000,ABB,67.7
more than 30000000,ABB,64.2
more than 30000000,ABB,54.5
more than 30000000,ABB,64.5
more than 30000000,ABB,67.5
more than 30000000,ABB,59.2
more than 30000000,ABB,55.3
more than 30000000,ABB,54
more than 30000000,ABB,74.8
more than 30000000,ABB,75.5
more than 30000000,ABB,81.6
more than 30000000,ABB,73.6
more than 30000000,ABB,63.8
more than 30000000,ABB,75.1
more than 30000000,ABB,67
more than 30000000,ABB,63.5
more than 30000000,ABB,74.9
more than 30000000,ABB,74.7
more than 30000000,ABB,68.9
more than 30000000,ABB,82
more than 30000000,ABB,62.7
more than 30000000,ABB,81.8
more than 30000000,ABB,62.5
more than 30000000,ABB,58.4
more than 30000000,ABB,69.5
more than 30000000,ABB,73.9
more than 30000000,ABB,73.4
more than 30000000,ABB,65
more than 30000000,ABB,81
more than 30000000,ABB,71.8
more than 30000000,ABB,56.3
more than 30000000,ABB,59.9
more than 30000000,ABB,72.3
more than 30000000,ABB,61.4
more than 30000000,ABB,51.9
more than 30000000,ABB,77.5
more than 30000000,ABB,57.5
more than 30000000,ABB,73.3
more than 30000000,ABB,85
more than 30000000,ABB,61.8
more than 30000000,ABB,87
more than 30000000,ABB,72.9
more than 30000000,ABB,73.6
more than 30000000,ABB,76
more than 30000000,ABB,54.9
more than 30000000,ABB,75.5
more than 30000000,ABB,75
more than 30000000,ABB,56
more than 30000000,ABB,78
more than 30000000,ABB,57.3
more than 30000000,ABB,62.6
more than 30000000,ABB,88
more than 30000000,ABB,73.5
more than 30000000,ABB,73.1
more than 30000000,ABB,81
more than 30000000,ABB,62.1
more than 30000000,ABB,76.3
more than 30000000,ABB,73.1
more than 30000000,ABB,76.2
more than 30000000,ABB,81
more than 30000000,ABB,72.8
more than 30000000,ABB,76
more than 30000000,ABB,61.2
more than 30000000,ABB,79.4
more than 30000000,ABB,74.9
more than 30000000,ABB,73.7
more than 30000000,ABB,75.3
more than 30000000,ABB,74.7
more than 30000000,ABB,61.5
more than 30000000,ABB,75.4
more than 30000000,ABB,75.2
more than 30000000,ABB,74.9
more than 30000000,ABB,75.6
more than 30000000,ABB,75.5
more than 30000000,ABB,79.5
more than 30000000,ABB,71.8
more than 30000000,ABB,75.7
more than 30000000,ABB,72.4
more than 30000000,ABB,71.4
more than 30000000,ABB,57.9
more than 50000000,ABB,79.3
more than 50000000,ABB,74.3
more than 50000000,ABB,82.2
more than 50000000,ABB,74.6
more than 50000000,ABB,52.5
more than 50000000,ABB,73.2
more than 50000000,ABB,73.3
more than 50000000,ABB,73
more than 50000000,ABB,81.7
more than 50000000,ABB,71.7
more than 50000000,ABB,78
more than 50000000,ABB,86
more than 50000000,ABB,71.2
more than 50000000,ABB,81
more than 50000000,ABB,79
more than 50000000,ABB,82
more than 50000000,ABB,82
more than 50000000,ABB,81.8
more than 50000000,ABB,81.5
more than 50000000,ABB,81.2
more than 50000000,ABB,88
more than 50000000,ABB,89
more than 50000000,ABB,62
more than 50000000,ABB,69
more than 50000000,ABB,66.4
more than 50000000,ABB,58.9
more than 50000000,ABB,66.2
more than 50000000,ABB,73.7
more than 50000000,ABB,51.2
more than 70000000,ABB,67.3
more than 70000000,ABB,73.9
more than 70000000,ABB,67
more than 70000000,ABB,68
more than 70000000,ABB,59.8
more than 70000000,ABB,78.5
more than 70000000,ABB,78.4
more than 70000000,ABB,79.2
more than 70000000,ABB,78.3
more than 70000000,ABB,79.8
more than 70000000,ABB,79.6
more than 70000000,ABB,66.8
more than 70000000,ABB,75.8
more than 70000000,ABB,66.8
more than 70000000,ABB,75.2
more than 70000000,ABB,74.8
more than 70000000,ABB,54
more than 70000000,ABB,74.2
more than 70000000,ABB,81
more than 90000000,ABB,68.1
more than 90000000,ABB,63.3
more than 90000000,ABB,67.9
more than 90000000,ABB,63.7
more than 90000000,ABB,64.2
more than 100000000,ABB,73.6
more than 100000000,ABB,72.7
more than 100000000,ABB,66.2
more than 100000000,ABB,75
more than 100000000,ABB,71.8
more than 100000000,ABB,66
more than 100000000,ABB,54.5
more than 100000000,ABB,65.7
more than 100000000,ABB,72
more than 100000000,ABB,73.8
more than 100000000,ABB,68.1
more than 100000000,ABB,65.3
more than 100000000,ABB,67.5
more than 100000000,ABB,67.7
more than 100000000,ABB,68.5
more than 100000000,ABB,68.9
more than 100000000,ABB,69.1
more than 100000000,ABB,64
more than 100000000,ABB,64.4
more than 100000000,ABB,64.8
more than 100000000,ABB,65.5
more than 100000000,ABB,74.1
more than 100000000,ABB,62.9
more than 100000000,ABB,49.2
more than 100000000,ABB,52
more than 100000000,ABB,75.6
more than 100000000,ABB,65.5
more than 100000000,ABB,66
more than 100000000,ABB,76.6
more than 100000000,ABB,66.8
more than 100000000,ABB,47.4
more than 100000000,ABB,67.3
more than 100000000,ABB,67.6
more than 100000000,ABB,65.3
more than 100000000,ABB,48.1
more than 100000000,ABB,52.7
more than 100000000,ABB,48.5
more than 100000000,ABB,68.2
more than 100000000,ABB,68.4
more than 100000000,ABB,65
more than 100000000,ABB,73
more than 100000000,ABB,64.6
more than 100000000,ABB,63.2
more than 100000000,ABB,65
more than 100000000,ABB,68.6
more than 100000000,ABB,73
more than 100000000,ABB,71
more than 100000000,ABB,62.8
more than 100000000,ABB,76
more than 100000000,ABB,68
more than 100000000,ABB,65.2
